city,country,lat,lng
Maracay,10.2469,-67.5958,Venezuela
Maringá,-23.425,-51.9389,Brazil
Markham,43.8767,-79.2633,Canada
Maroua,10.5823,14.3275,Cameroon
Marseille,43.2964,5.37,France
Masan,35.1833,128.55,"Korea, South"
Maseru,-29.31,27.48,Lesotho
Mathura,27.4833,77.6833,India
Matola,-25.9667,32.4667,Mozambique
Matsudo,35.7878,139.9031,Japan
Maturín,9.7457,-63.1832,Venezuela
Mazatlán,23.22,-106.42,Mexico
Mazatán,29.0167,-110.1333,Mexico
Mazār-e Sharīf,36.7,67.1167,Afghanistan
Ma’anshan,31.7135,118.3605,China
Mbabane,-26.3208,31.1617,Swaziland
Mbale,1.0806,34.175,Uganda
McAllen,26.2273,-98.2471,United States
Mecca,21.4225,39.8261,Saudi Arabia
Medellín,6.2447,-75.5748,Colombia
Medina,24.4667,39.6,Saudi Arabia
Meerut,28.99,77.7,India
Meicheng,30.6412,116.5689,China
Meizhou,24.2998,116.1191,China
Meknès,33.8833,-5.55,Morocco
Melbourne,-37.8136,144.9631,Australia
Memphis,35.1046,-89.9773,United States
Meru,0.05,37.65,Kenya
Mexico City,19.4333,-99.1333,Mexico
Miami,25.7839,-80.2102,United States
Mianyang,31.4669,104.7385,China
Milan,45.4669,9.19,Italy
Milwaukee,43.0642,-87.9673,United States
Mishan,45.542,131.8666,China
Mississauga,43.6,-79.65,Canada
Miyazaki,31.9167,131.4167,Japan
Mizhou,35.99,119.3801,China
Mobile,30.6783,-88.1162,United States
Mogadishu,2.0408,45.3425,Somalia
Mombasa,-4.05,39.6667,Kenya
Monaco,43.7396,7.4069,Monaco
Monrovia,6.3106,-10.8047,Liberia
Montería,8.76,-75.8856,Colombia
Montes Claros,-16.7322,-43.8636,Brazil
Montevideo,-34.8667,-56.1667,Uruguay
Moroni,-11.7036,43.2536,Comoros
Morādābād,28.8418,78.7568,India
Moscow,55.7558,37.6178,Russia
Muntinlupa City,14.3833,121.05,Philippines
Murrieta,33.572,-117.1909,United States
Muscat,23.6139,58.5922,Oman
Muzaffarnagar,29.4708,77.7033,India
Muzaffarpur,26.12,85.3833,India
Mykolaiv,46.9667,32.0,Ukraine
Mysore,12.3086,76.6531,India
Málaga,36.7194,-4.42,Spain
Mérida,20.97,-89.62,Mexico
Naberezhnyye Chelny,55.7,52.3333,Russia
Nada,19.5,109.5833,China
Naha,26.2122,127.6789,Japan
Nairobi,-1.2864,36.8172,Kenya
Nakuru,-0.2833,36.0667,Kenya
Nam Định,20.42,106.1683,Vietnam
Nampula,-15.1167,39.2667,Mozambique
Nanchong,30.7991,106.0784,China
Nancy,48.6936,6.1846,France
Nangong,37.3606,115.3803,China
Nanjing,32.05,118.7667,China
Nanning,22.8192,108.315,China
Nanping,26.6448,118.1728,China
Nantes,47.2181,-1.5528,France
Nantong,31.9829,120.8873,China
Nashville,36.1715,-86.7843,United States
Nassau,25.0667,-77.3333,"Bahamas, The"
Natal,-6.9838,-60.2699,Brazil
Natal,-5.795,-35.2089,Brazil
Naucalpan de Juárez,19.4753,-99.2378,Mexico
Ndola,-12.9683,28.6337,Zambia
Nehe,48.48,124.8738,China
Neijiang,29.5872,105.0635,China
Nellore,14.4333,79.9667,India
New Delhi,28.7,77.2,India
New Haven,41.3112,-72.9246,United States
New York,40.6943,-73.9249,United States
Newcastle,-32.9167,151.75,Australia
Newcastle,55.0077,-1.6578,United Kingdom
Nezahualcóyotl,19.4,-98.9889,Mexico
Nha Trang,12.2495,109.1908,Vietnam
Niamey,13.5086,2.1111,Niger
Nice,43.7034,7.2663,France
Nicolás Romero,19.5833,-99.3667,Mexico
Niigata,37.9161,139.0364,Japan
Ningbo,29.875,121.5492,China
Ningde,26.6667,119.5167,China
Nizhniy Novgorod,56.3269,44.0075,Russia
Nizhniy Tagil,57.9167,59.9667,Russia
Nizāmābād,18.6704,78.1,India
Nottingham,52.95,-1.15,United Kingdom
Nouakchott,18.0858,-15.9785,Mauritania
Novosibirsk,55.0333,82.9167,Russia
Nuku‘alofa,-21.1347,-175.2083,Tonga
Nuuk,64.175,-51.7333,Greenland
Nāgpur,21.1539,79.0831,India
Okayama,34.65,133.9167,Japan
Oklahoma City,35.4676,-97.5136,United States
Omsk,54.9667,73.3833,Russia
Onitsha,6.1667,6.7833,Nigeria
Orlando,28.4772,-81.3369,United States
Orūmīyeh,37.5486,45.0675,Iran
Osasco,-23.5328,-46.7919,Brazil
Osogbo,7.7667,4.5667,Nigeria
Ouagadougou,12.3572,-1.5353,Burkina Faso
Oujda-Angad,34.69,-1.91,Morocco
Palembang,-2.9833,104.7644,Indonesia
Palermo,2.8883,-75.4339,Colombia
Palermo,38.1157,13.3613,Italy
Palm Bay,27.955,-80.6627,United States
Palm Coast,29.5392,-81.246,United States
Palma,39.5667,2.65,Spain
Palu,-0.895,119.8594,Indonesia
Panama City,9.0,-79.5,Panama
Panshi,42.9392,126.0561,China
Papeete,-17.5334,-149.5667,French Polynesia
Paramaribo,5.8667,-55.1667,Suriname
Parbhani,19.2704,76.76,India
Paris,48.8566,2.3522,France
Patam,1.0678,104.0167,Indonesia
Patna,25.61,85.1414,India
Pavlodar,52.3156,76.9564,Kazakhstan
Pekanbaru,0.5333,101.45,Indonesia
Pelotas,-31.7719,-52.3428,Brazil
Pencheng,29.6792,115.6611,China
Pensacola,30.4427,-87.1886,United States
Penza,53.2,45.0,Russia
Pereira,4.8143,-75.6946,Colombia
Perth,-31.9522,115.8589,Australia
Peshawar,34.0,71.5,Pakistan
Petaling Jaya,3.1073,101.6067,Malaysia
Philadelphia,40.0077,-75.1339,United States
Philipsburg,18.0256,-63.0492,Sint Maarten
Phnom Penh,11.5696,104.921,Cambodia
Pikine,14.75,-17.4,Senegal
Pingxiang,27.6333,113.85,China
Podgorica,42.4397,19.2661,Montenegro
Pohang,36.0322,129.365,"Korea, South"
Pokhara,28.2097,83.9853,Nepal
Poltava,49.5744,34.5686,Ukraine
Port Harcourt,4.75,7.0,Nigeria
Port Louis,-20.1667,57.5,Mauritius
Port Said,31.25,32.2833,Egypt
Port St. Lucie,27.2796,-80.3883,United States
Port of Spain,10.6667,-61.5167,Trinidad And Tobago
Port-au-Prince,18.5425,-72.3386,Haiti
Portland,45.5372,-122.65,United States
Porto Alegre,-30.0328,-51.23,Brazil
Porto Velho,-8.7619,-63.9039,Brazil
Praia,14.9177,-23.5092,Cabo Verde
Pretoria,-25.7464,28.1881,South Africa
Pristina,42.6667,21.1667,Kosovo
Pudong,31.2231,121.5397,China
Puebla,19.0333,-98.1833,Mexico
Puente Alto,-33.6167,-70.5833,Chile
Pune,18.5196,73.8553,India
Puning,23.2993,116.1586,China
Putian,25.4394,119.0103,China
Puxi,35.2125,114.735,China
Pyeongtaek,36.9947,127.0889,"Korea, South"
Pyongyang,39.03,125.73,"Korea, North"
Pétion-Ville,18.5098,-72.2856,Haiti
Pānihāti,22.69,88.37,India
Qaraghandy,49.8,73.1167,Kazakhstan
Qianxi,27.0284,106.0327,China
Qinbaling,35.7278,107.64,China
Qincheng,34.5809,105.7311,China
Qingdao,36.1167,120.4,China
Qingnian,36.8494,115.7061,China
Qingping,34.538,113.3796,China
Qingyang,24.8141,118.5792,China
Qingyuan,23.6842,113.0507,China
Qingzhen,26.5555,106.4646,China
Qingzhou,36.6967,118.4797,China
Qinhuangdao,39.9398,119.5881,China
Qionghu,28.8417,112.3595,China
Qom,34.6461,50.8789,Iran
Qoqon,40.5404,70.94,Uzbekistan
Quanzhou,24.9139,118.5858,China
Quebec City,46.8139,-71.2081,Canada
Queens,40.7498,-73.7976,United States
Querétaro,20.5875,-100.3928,Mexico
Quetta,30.192,67.007,Pakistan
Quezon City,14.6333,121.0333,Philippines
Quilon,8.8853,76.5864,India
Quito,-0.2186,-78.5097,Ecuador
Quzhou,28.9545,118.8763,China
Quảng Hà,16.06,108.25,Vietnam
Rabat,34.0253,-6.8361,Morocco
Rahimyar Khan,28.4202,70.2952,Pakistan
Raleigh,35.8325,-78.6435,United States
Randburg,-26.0936,28.0064,South Africa
Rawalpindi,33.6007,73.0679,Pakistan
Rennes,48.1147,-1.6794,France
Reno,39.5497,-119.8483,United States
Renqiu,38.7094,116.1008,China
Ribeirão das Neves,-19.7669,-44.0869,Brazil
Richmond,37.5295,-77.4756,United States
Rio de Janeiro,-22.9083,-43.1964,Brazil
Riyadh,24.65,46.71,Saudi Arabia
Rome,41.8931,12.4828,Italy
Rongcheng,26.2312,104.0966,China
Rongjiawan,29.1409,113.1087,China
Roseau,15.3,-61.3833,Dominica
Rotterdam,51.9225,4.4792,Netherlands
Rouen,49.4428,1.0886,France
Rui’an,27.778,120.6526,China
Rājapālaiyam,9.4204,77.58,India
Rājshāhi,24.3667,88.6,Bangladesh
Rānchi,23.3556,85.3347,India
Saidu Sharif,34.75,72.3572,Pakistan
Saint Helier,49.1833,-2.1167,Jersey
Saint-Denis,-20.8789,55.4481,Reunion
Salem,11.65,78.1667,India
Salt Lake City,40.7777,-111.9306,United States
Saltillo,25.4333,-101.0,Mexico
Salvador,-12.9708,-38.5108,Brazil
Samsun,41.2867,36.33,Turkey
San Cristóbal,7.7714,-72.2261,Venezuela
San Francisco,37.7562,-122.443,United States
San Jose,37.3019,-121.8486,United States
San Juan,-31.5375,-68.5364,Argentina
San Juan,18.4037,-66.0636,Puerto Rico
San Marino,43.932,12.4484,San Marino
San Miguel de Tucumán,-26.8167,-65.2167,Argentina
San Miguelito,9.05,-79.5,Panama
San Pedro,14.3583,121.0583,Philippines
San Pedro Sula,15.5,-88.0333,Honduras
San Salvador,13.6989,-89.1914,El Salvador
Sanandaj,35.3097,46.9989,Iran
Sanmenxia,34.7736,111.195,China
Santa Ana,33.7366,-117.8819,United States
Santa Marta,11.2361,-74.2017,Colombia
Santa Teresa del Tuy,10.2333,-66.65,Venezuela
Santiago,-33.45,-70.6667,Chile
Santiago de Cuba,20.0283,-75.8206,Cuba
Santo André,-23.6572,-46.5333,Brazil
Santos,-23.9608,-46.3339,Brazil
Sanya,18.2536,109.5019,China
Sargodha,32.0836,72.6711,Pakistan
Saurimo,-9.6589,20.3934,Angola
Scranton,41.4044,-75.6649,United States
Seremban,2.7297,101.9381,Malaysia
Serra,-20.1289,-40.3078,Brazil
Sevastopol,44.6,33.5333,Ukraine
Sevilla,37.39,-5.99,Spain
Shah Alam,3.0833,101.5333,Malaysia
Shahe,36.8622,114.502,China
Shangqiu,34.4259,115.6467,China
Shantou,23.3735,116.6941,China
Shanwei,22.7664,115.3331,China
Shaoguan,24.8011,113.5927,China
Shaoxing,30.0,120.5833,China
Shaoyang,32.9387,119.8404,China
Sharjah,25.3575,55.3919,United Arab Emirates
Shashi,30.32,112.23,China
Shengli,37.45,118.4667,China
Shenyang,41.8039,123.4258,China
Shenzhou,38.0005,115.5541,China
Shihezi,44.3,86.0333,China
Shijiazhuang,38.0422,114.5086,China
Shishi,24.7355,118.6434,China
Shiyan,32.6351,110.7755,China
Shizuoka,34.9756,138.3825,Japan
Shouguang,36.8833,118.7333,China
Shubrā al Khaymah,30.1286,31.2422,Egypt
Shulan,44.4167,126.95,China
Shuyangzha,34.1299,118.7734,China
Shymkent,42.3,69.6,Kazakhstan
Shāhjānpur,27.8804,79.905,India
Shīrāz,29.61,52.5425,Iran
Sialkot City,32.5,74.5333,Pakistan
Sihui,23.3448,112.6956,China
Simferopol,44.9484,34.1,Ukraine
Siping,43.1715,124.3644,China
Sivas,39.75,37.0167,Turkey
Smolensk,54.7828,32.0453,Russia
Soledad,10.92,-74.77,Colombia
Songyang,34.4161,113.0424,China
Songzi,30.1772,111.7732,China
Sorocaba,-23.5019,-47.4578,Brazil
Southampton,50.9,-1.4,United Kingdom
Spokane,47.6671,-117.433,United States
Springfield,42.1155,-72.5395,United States
Sri Jayewardenepura Kotte,6.9,79.9164,Sri Lanka
St. Louis,38.6358,-90.2451,United States
Stanley,-51.7,-57.85,Falkland Islands (Islas Malvinas)
Stavropol,45.05,41.9833,Russia
Stockholm,59.3294,18.0686,Sweden
Stoke-on-Trent,53.0,-2.1833,United Kingdom
Strasbourg,48.5833,7.7458,France
Sucre,-19.0431,-65.2592,Bolivia
Suining,30.5098,105.5737,China
Sukabumi,-6.9197,106.9272,Indonesia
Sumqayıt,40.5917,49.6397,Azerbaijan
Suohe,34.7879,113.392,China
Surabaya,-7.2458,112.7378,Indonesia
Surakarta,-7.5667,110.8167,Indonesia
Surgut,61.25,73.4333,Russia
Surrey,49.19,-122.8489,Canada
Suzhou,33.6333,116.9683,China
Syracuse,43.0409,-76.1438,United States
Szczecin,53.4247,14.5553,Poland
São Bernardo do Campo,-23.6939,-46.565,Brazil
São José dos Campos,-23.1789,-45.8869,Brazil
São José dos Pinhais,-25.535,-49.2058,Brazil
São Paulo,-23.5504,-46.6339,Brazil
São Tomé,0.3333,6.7333,Sao Tome And Principe
São Vicente,-23.9633,-46.3922,Brazil
Sāngli,16.8667,74.5667,India
Sūrat,21.17,72.83,India
Tabūk,28.3838,36.555,Saudi Arabia
Taichung,24.15,120.6667,Taiwan
Taihe,30.8706,105.3784,China
Taishan,22.2486,112.785,China
Takamatsu,34.35,134.05,Japan
Tallinn,59.4372,24.745,Estonia
Tampico,22.2553,-97.8686,Mexico
Tanbei,35.0907,112.9317,China
Tanch’ŏn,40.458,128.911,"Korea, North"
Tangerang,-6.1783,106.6319,Indonesia
Tangier,35.7767,-5.8039,Morocco
Taourirt,34.41,-2.89,Morocco
Taoyuan District,24.9889,121.3111,Taiwan
Tarlac City,15.4802,120.5979,Philippines
Tarsus,36.9167,34.9,Turkey
Tashkent,41.3,69.2667,Uzbekistan
Taytay,14.5692,121.1325,Philippines
Ta‘izz,13.5789,44.0219,Yemen
Tecámac,19.7131,-98.9683,Mexico
Tegucigalpa,14.0942,-87.2067,Honduras
Tehran,35.7,51.4167,Iran
Teresina,-5.0949,-42.8042,Brazil
The Hague,52.0767,4.2986,Netherlands
The Valley,18.2167,-63.05,Anguilla
Thủ Đức,10.8199,106.7909,Vietnam
Tianchang,32.6853,119.0041,China
Tifariti,26.0928,-10.6089,Morocco
Tijuana,32.525,-117.0333,Mexico
Timişoara,45.7597,21.23,Romania
Tinnevelly,8.7289,77.7081,India
Tiruppūr,11.1075,77.3398,India
Tokyo,35.6897,139.6922,Japan
Toluca,19.2925,-99.6569,Mexico
Tolyatti,53.5167,49.4167,Russia
Tomsk,56.4886,84.9522,Russia
Tonalá,20.6167,-103.2333,Mexico
Tongchuan,34.9057,108.9422,China
Tongliao,43.6172,122.264,China
Tongren,27.7233,109.1885,China
Toronto,43.7417,-79.3733,Canada
Toyama,36.7,137.22,Japan
Toyota,35.0833,137.1567,Japan
Trabzon,41.005,39.7225,Turkey
Tripoli,32.8752,13.1875,Libya
Tripoli,34.4333,35.8333,Lebanon
Trujillo,-8.1119,-79.0289,Peru
Tucson,32.1545,-110.8782,United States
Tula,54.2,37.6167,Russia
Tulsa,36.1284,-95.9042,United States
Tultitlán de Mariano Escobedo,19.645,-99.1694,Mexico
Tumkūr,13.33,77.1,India
Tyumen,57.15,65.5333,Russia
Tétouan,35.5667,-5.3667,Morocco
Tórshavn,62.0,-6.7833,Faroe Islands
Uberaba,-19.7478,-47.9319,Brazil
Ufa,54.7333,55.9667,Russia
Uijeongbu,37.7486,127.0389,"Korea, South"
Ujjain,23.1828,75.7772,India
Ulaanbaatar,47.9203,106.9172,Mongolia
Ulan-Ude,51.8272,107.6064,Russia
Ulhāsnagar,19.2167,73.15,India
Umuahia,5.5333,7.4833,Nigeria
Uruapan,19.4208,-102.0628,Mexico
Valencia,39.47,-0.3764,Spain
Valenzuela,14.7,120.9833,Philippines
Valletta,35.8978,14.5125,Malta
Van,38.5019,43.4167,Turkey
Veracruz,19.1903,-96.1533,Mexico
Vientiane,17.9667,102.6,Laos
Vila Velha,3.2167,-51.2167,Brazil
Villa Nueva,14.5314,-90.5964,Guatemala
Villavicencio,4.1425,-73.6294,Colombia
Vinnytsia,49.2372,28.4672,Ukraine
Vishākhapatnam,17.7333,83.3167,India
Vitsyebsk,55.1833,30.1667,Belarus
Vitória,-20.3189,-40.3378,Brazil
Viña del Mar,-33.0245,-71.5518,Chile
Vladimir,56.1286,40.4058,Russia
Vladivostok,43.1167,131.9,Russia
Vologda,59.2167,39.9,Russia
Voronezh,51.6717,39.2106,Russia
Vārānasi,25.3189,83.0128,India
Warangal,17.9756,79.6011,India
Warri,5.5167,5.75,Nigeria
Washington,38.9047,-77.0163,United States
Weifang,36.7167,119.1,China
Weinan,34.4996,109.4684,China
Wencheng,19.6167,110.75,China
Wenlan,23.3689,103.3881,China
Wenzhou,27.9991,120.6561,China
Wichita,37.6896,-97.3442,United States
Windhoek,-22.57,17.0836,Namibia
Worcester,42.2705,-71.8079,United States
Wrocław,51.11,17.0325,Poland
Wuchuan,21.4283,110.7749,China
Wudalianchi,48.6433,126.1408,China
Wugang,26.7345,110.6293,China
Wuhai,39.6708,106.8114,China
Wuhan,30.5872,114.2881,China
Wuppertal,51.2667,7.1833,Germany
Wusong,30.9333,117.7667,China
Wutong,30.6326,120.5474,China
Wuwei,37.9278,102.6329,China
Wuxi,31.5667,120.2833,China
Wuxue,29.8518,115.5539,China
Wuzhong,37.9874,106.1919,China
Wu’an,36.6941,114.1847,China
Wŏnsan,39.1475,127.4461,"Korea, North"
Xiamen,24.4797,118.0819,China
Xiangtan,27.8431,112.9228,China
Xianyang,34.35,108.7167,China
Xiaoxita,30.7083,111.2803,China
Xicheng,23.3629,103.1545,China
Xingcheng,24.1681,115.6669,China
Xingren,25.4352,105.1907,China
Xingtai,37.0659,114.4753,China
Xinhualu,34.3962,113.7249,China
Xining,36.6239,101.7787,China
Xinmin,41.9952,122.8224,China
Xinpu,34.5906,119.1801,China
Xinyang,32.1264,114.0672,China
Xin’an,34.3662,118.3369,China
Xiping,25.6005,103.8166,China
Xiping,40.08,113.3,China
Xishan,27.6609,113.4946,China
Xiulin,29.7211,112.4037,China
Xuanzhou,30.9475,118.7518,China
Xushan,30.1697,121.2665,China
Yakeshi,49.2842,120.7283,China
Yamoussoukro,6.8161,-5.2742,Côte D’Ivoire
Yangquan,37.8576,113.5762,China
Yangzhou,32.3912,119.4363,China
Yanji,42.9044,129.5067,China
Yanjiang,30.1256,104.6397,China
Yan’an,36.5952,109.4863,China
Yaoundé,3.8578,11.5181,Cameroon
Yeosu,34.7368,127.7458,"Korea, South"
Yicheng,31.3697,119.8239,China
Yichun,27.8041,114.383,China
Yichun,47.7235,128.8893,China
Yinchuan,38.4795,106.2254,China
Yingcheng,24.1878,113.4042,China
Yingmen,39.83,97.73,China
Yingtan,28.2333,117.0,China
Yogyakarta,-7.8014,110.3644,Indonesia
Yola,9.2,12.4833,Nigeria
Yongzhou,26.4515,111.5953,China
Yong’an,25.9733,117.3593,China
Youngstown,41.0993,-80.6463,United States
Yuanping,38.7299,112.7134,China
Yucheng,29.9888,103.0007,China
Yuci,37.6804,112.73,China
Yulin,22.6293,110.1507,China
Yuncheng,35.0304,110.998,China
Yushan,31.3867,120.9766,China
Yutan,28.3147,112.554,China
Yuyao,30.0372,121.1546,China
Zagreb,45.8,15.95,Croatia
Zamboanga City,6.9167,122.0833,Philippines
Zanjān,36.6667,48.4833,Iran
Zaoyang,32.1287,112.7581,China
Zaporizhzhia,47.8378,35.1383,Ukraine
Zaragoza,41.6483,-0.883,Spain
Zaria,11.0667,7.7,Nigeria
Zhangjiakou Shi Xuanhua Qu,40.5944,115.0243,China
Zhangshu,28.0667,115.5375,China
Zhangye,38.9355,100.4553,China
Zhangzhou,24.5093,117.6612,China
Zhanjiang,21.1967,110.4031,China
Zhengjiatun,43.513,123.5003,China
Zhenjiang,32.2109,119.4551,China
Zhongli,24.965,121.2168,Taiwan
Zhongshu,27.8116,106.4133,China
Zhongxiang,31.169,112.5853,China
Zhoushan,30.0162,122.0988,China
Zhuangyuan,37.3,120.8333,China
Zhugang,28.1277,121.2288,China
Zhuhai,22.2769,113.5678,China
Zigong,29.3498,104.7645,China
Āgra,27.18,78.02,India
İzmir,38.4127,27.1384,Turkey
Łódź,51.7769,19.4547,Poland
Şanlıurfa,37.1583,38.7917,Turkey
Ḩalwān,29.8419,31.3342,Egypt
